Time_s,Gen_AC_V,Inv_AC_V,Inv_AC_A,Inv_AC_W,Bat_DC_V,MPPT_DC_A,MPPT_DC_W,Bat_SoC_Pct,Bat_Energy_Wh,Inv_DC_A,Inv_DC_W,Inv_Efficiency_Pct,Rotor_RPM,Temp_Gen_C,Temp_Box_C,Temp_ESP_C
95.0,129.0,166.5,0.09,13.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
96.0,119.3,152.1,0.08,11.0,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
97.0,193.1,255.0,0.13,27.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
98.0,91.2,112.8,0.07,6.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
99.0,145.2,190.5,0.10,15.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
100.0,183.0,239.0,0.12,24.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
101.0,101.4,129.5,0.07,8.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
102.0,201.1,266.2,0.13,29.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
103.0,100.2,126.9,0.08,8.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
104.0,149.8,196.0,0.10,16.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
105.0,162.4,209.1,0.11,19.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
106.0,106.7,136.4,0.08,8.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
107.0,202.1,268.5,0.13,30.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
108.0,96.1,121.3,0.07,7.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
109.0,148.1,194.7,0.10,17.0,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
110.0,147.1,190.1,0.10,16.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
111.0,100.4,127.8,0.08,8.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
112.0,188.5,248.8,0.13,27.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
